sample,Si,K2O,CaO 1234567
89,52.8005912216439,1.05641559776898,8.57071326657806
90,57.9519311098258,1.40290453072408,6.06728564975248
91,53.0152303836514,0.57454603319265,8.03114181828512
92,59.6690444058865,1.22004311477996,6.03352690967844
93,58.7031681768524,1.23110028373186,5.86499289780735
94,54.249405565195,0.999666304177583,7.77041588694597
95,58.5421888053467,0.95562346314226,6.02516382222102
96,60.7959000064263,1.9205240596218,5.46536675435985
97,63.532549322023,1.92170875629522,4.42200067597535
98,56.4494569757728,1.24159994836687,6.61913592806822
99,57.2006940427993,0.782913271635076,6.19500161715631
100,64.7130647130647,1.85336801878155,4.18358061367895
101,48.0248698669751,0.239602085466747,9.57759391273291
102,72.0644560118244,2.95817896945717,1.48063049403799
103,72.0107962213225,2.82045217383563,1.53056329408969
104,70.2936829252619,2.73938175441935,1.98539625362181
105,51.0834779255832,0.940919286783949,9.07951167664159
106,53.9811066126856,2.08970339045527,7.40033330873012
107,55.80553948975,0.885586983331345,7.35942679084209
108,63.9081678555363,2.02514903642723,4.48946688526813
109,51.9420345736135,0.58555674345148,8.88277112306919
110,68.5229098386993,2.33697978434821,2.8167802822164
111,51.7273954116059,0.883821552994486,8.54794335667758
112,62.7276524644946,1.74923085825341,4.56022074374867
113,58.4885290148448,1.07035320569155,6.24842813373313
114,70.1863633442581,2.55573054069295,2.00276133310177
115,68.7375490007069,2.27969621578644,2.43704028496726
116,71.5815178973074,2.774365150305,1.70657353206493
117,71.9034766403187,2.88925749828005,1.52747043603571
118,55.7518796992481,0.736384890520229,6.93803074115499
119,67.4497140286614,2.39389168336537,3.17792409487358
120,52.210333526123,1.15943774966331,8.988917895583
121,48.0248698669751,0.182225599518833,9.23148453268775
122,69.0595077437183,2.44048975251983,2.64507401637555
123,58.1665702718334,1.23086799026649,5.98316945425513
124,58.0055909003277,1.04719354719355,6.41937306001711
125,71.8498168498168,2.86628367455435,1.97746141236098
126,59.3470856628751,1.56416265438822,5.95762877674007
127,60.420281472913,1.64495432164605,5.7009771673684
128,71.4205385258017,2.73986957069664,1.60044641711587
129,70.0253839727524,3.0490986318054,2.24292883807206
130,60.2056423109055,1.46125664922657,5.83733073404216
131,52.6396118501382,0.74651288561063,7.19919047684097
132,53.0152303836514,1.21716267580929,8.08236248479942
133,71.7424972688131,2.77443483834461,1.56161359281282
134,47.5419317524581,0.0672635635041647,9.39877007254294
135,59.0251269198638,0.990258418829848,5.96849090965068
136,53.1762097551571,0.4828133437156,7.52767799906842
137,53.6591478696742,0.666627162867764,7.40379221267463
138,67.6106934001671,2.19888131918207,2.9741365128015
139,58.8104877578562,1.17377025647702,5.95746713111011
140,58.0055909003277,0.955391169676884,5.95793287428362
141,48.2931688194846,0.285619420957767,9.59092643984762
142,64.8203842940685,2.0714451240767,2.0859340317612
143,48.3468286099865,0.216790867166807,10.1196548230017
144,48.7761069340017,0.216976701939108,8.92428288252714
145,59.2397660818713,1.23133257719724,5.96320838041751
146,50.9224985540775,0.849047221227673,8.40978012081739
147,71.0985797827903,2.78563138337574,1.70281084488647
148,70.6693014587751,2.59036549638053,2.02089549005578
149,68.4692500481974,2.55498720160374,2.71216444819299
150,52.746931431142,0.505578103322464,7.75459917511883
151,62.9959514170041,1.86409997688193,4.4358133326883
152,58.9714671293619,1.42629648268746,5.7728484445492
153,53.3371891266628,0.540259517703127,8.0715433103539
154,61.7081164449585,1.66846242034212,6.17402759377488
155,69.3278066962278,2.80781540931917,2.41745535055836
156,57.5763125763126,1.4142172224879,6.6481932547613
157,57.361673414305,1.27642073882675,6.14310506924199
158,71.8498168498168,2.76300599984811,1.51760855720196
159,50.0102821155453,0.424066326321965,8.51729320357273
160,51.5664160401003,0.5968694352153,9.35193196438928
